"","conc.b","conc.a","fail.r","corr.b","corr.a","corr.theta","corr.ltheta.b","corr.ltheta.t","corr.ltheta.m","corr.ltheta.s","corr.ltheta.r","conc.a2"
"NEU_SRR1974617",2.62630323534012,-1.12396233558033,-2.30258509299405,-1.71112640414843,1,0.27744062405859,-4.07263600996215,3.62663999631857,9.06382503025481,-0.150415789740394,2.23923412377851,0.183901499736741
"NEU_SRR1974618",3.39347084319445,-1.16580879354811,-2.30258509299405,-1.35972679811422,1,0.2527447899452,-2.80975887954748,3.28934115666768,3.94821616676742,-0.225708571645288,0.608706542989827,0.163402831437391
"NEU_SRR1974620",2.49678563896012,-1.20180912709176,-2.30258509299405,-1.99963061283972,1,0.211797331216235,-3.73605535464807,2.85805761544816,5.01770717034571,-0.273129165517975,0.46940257468005,0.156467962087946
"NEU_SRR1974621",1.61863641237393,-0.254449069049052,-2.30258509299405,-1.49090748502873,1,0.244815269178573,-2.19531672478812,2.79048745406684,5.69528873373671,-0.283719132935075,1.1549031144097,0.0825226520434959
"NEU_SRR1974622",1.72133789170124,-0.856467490011653,-2.30258509299405,-1.86016754506126,1,0.239314033376126,-3.7226731481308,3.04897319845711,5.55980758575979,-0.216295757322944,0.715607277720575,0.143761518512266
"NEU_SRR1974623",1.42083207816106,-0.76667402364313,-2.30258509299405,-1.96631961746852,1,0.16982021392108,-0.90032124748989,2.53961054825286,9.83388118180116,-0.351658275245537,20,0.110029301990048
"NEU_SRR1974624",2.46623298238443,-1.12468587393803,-2.30258509299405,-1.77886735415923,1,0.275670695668449,-4.47661005706762,2.99723081430445,5.66115132475532,-0.235053015259198,0.712015573832969,0.180906574799423
"NEU_SRR1974625",-3.59859101706113,-0.0691458817193211,-2.30258509299405,-0.711216301984937,1,0.0815250368677714,-0.642419591805845,2.47366427070528,5.13070619702789,-1.4884479120436,0.196047838935082,0.0596997949900337
"NEU_SRR1974626",0.712954383199923,-0.696143634686342,-2.30258509299405,-1.91982497060922,1,0.184600342622773,-1.43821339741604,2.63488075837566,10.9775996932089,-0.291992335992434,20,0.132159496261911
"NEU_SRR1974627",1.92314451416126,-0.784548737833716,-2.30258509299405,-2.11387813846978,1,0.209799914371441,-5.15428631317239,2.75029554075155,6.54269659534321,-0.247404545637626,0.610834846208927,0.137303429770489
"NEU_SRR1974628",2.55494369298247,-1.30408420876097,-2.30258509299405,-1.85351561449305,1,0.236679597811164,-2.18110456925807,3.36639307650618,12.4521970067108,-0.162871294421097,9.76707202551406,0.220706327701734
