"","conc.b","conc.a","fail.r","corr.b","corr.a","corr.theta","corr.ltheta.b","corr.ltheta.t","corr.ltheta.m","corr.ltheta.s","corr.ltheta.r","conc.a2"
"AST_SRR1974733",4.0472167883816,-2.20662358623745,-2.30258509299405,-2.08897920601717,1,0.191137220237439,-4.3680834244425,3.79338122332027,11.5518918578295,-0.119949912145598,2.32617508178741,0.310826730846319
"AST_SRR1974734",5.0755904122884,-2.24329282885618,-2.30258509299405,-2.11300660704002,1,0.146431085759116,-48.7037417190597,21.200203992537,15.6762920089666,-0.0144810947860243,0.624937033319183,0.275897454155757
"AST_SRR1974736",3.23086883034826,-1.57671106301677,-2.30258509299405,-1.93199608505869,1,0.230836455824935,-1.8225937439723,3.53563447596369,12.9505267913376,-0.154618841809875,10.8259134590986,0.234791247096867
"AST_SRR1974737",0.711933296448291,-0.990025940839863,-2.30258509299405,-1.67504051613965,1,0.158087854249178,-0.875740690087146,2.42562823084066,10.8874210830641,-0.314047874551014,20,0.18271448849829
"AST_SRR1974738",1.16953336642999,-0.849310646906965,-2.30258509299405,-1.85663974486847,1,0.170359134170489,-0.987942518824027,2.58284547458179,8.14730837618553,-0.295963248764361,3.50033165573066,0.142356264345318
"AST_SRR1974739",9.1954879258782,-3.76164538510799,-2.30258509299405,-2.25315864300549,1,0.223532535908156,-3.87403348041596,4.07915204449142,14.583243784726,-0.123399307717965,7.17034331594002,0.437627502624618
"AST_SRR1974740",1.66454276996306,-1.0976467185836,-2.30258509299405,-2.1332274207626,1,0.166773554578897,-4.56550917604666,2.80544688166335,6.76818260826649,-0.234049945621537,0.560876873565064,0.168566413221708
"AST_SRR1974741",1.82281775679436,-1.22362688436355,-2.30258509299405,-1.90407308539597,1,0.157088236836815,-4.76693038611919,2.70028875250656,7.41972132370775,-0.231250848331709,0.671300224187025,0.202143681506994
"AST_SRR1974743",0.574889680611394,-0.623284405856712,-2.30258509299405,-1.72564065262372,1,0.165478479736244,-2.31755516983548,2.30918798384827,4.20469247743918,-1.06672147639847,0.1,0.125084846990244
"AST_SRR1974744",2.01401302368418,-1.46309595657366,-2.30258509299405,-1.81848356523613,1,0.136997725363865,-1.10318035820104,2.46190358953372,5.10810442413417,-0.388309019961673,0.394313050163288,0.223490194755737
"AST_SRR1974745",4.38246618928559,-2.14764607556745,-2.30258509299405,-1.81232310889955,1,0.230662628425717,-2.78424919968227,3.63104613860888,12.2761039107297,-0.143896105174803,6.15101466616338,0.302108768823914
"AST_SRR1974750",2.39623774520793,-1.20017098737578,-2.30258509299405,-1.55487869890333,1,0.228370538433719,-1.07222370774308,2.53789143350562,8.8757084569293,-0.300467496328426,8.73552612433481,0.188421784938357
"AST_SRR1974751",13.2131688492565,-4.96468321283508,-2.30258509299405,-1.97035538388068,1,0.255556833669129,-3.17083298336093,3.10568421569004,5.80560878778858,-0.246001596789895,0.916018592503108,0.535661170291566
"AST_SRR1974753",0.231225124938235,-0.515240027754145,-2.30258509299405,-1.58801080989208,1,0.129911489545111,-0.156540546521434,2.25869569126023,4.54151365997909,-0.803836017524522,0.236458137642744,0.109540184968809
"AST_SRR1974754",0.883111026652238,-0.67797100470631,-2.30258509299405,-1.71443346418074,1,0.161078616232486,-1.51878055762305,2.34132667886365,6.31875106862809,-0.476608726027898,1.02917754987658,0.124331526937439
"AST_SRR1974814",3.54750788798808,-1.03199245916382,-2.30258509299405,-1.7961729945914,1,0.177668497867106,-4.78677978726776,2.92969750870324,6.33223408887805,-0.206950219475614,0.553587268666713,0.143257947199822
"AST_SRR1974840",0.90528951223982,-0.552824045743198,-2.30258509299405,-1.50937049071633,1,0.180171497216614,-0.669393702533583,2.39705008817296,7.90555835231491,-0.440131481753163,8.09768919683706,0.105149258500603
"AST_SRR1974846",1.03444888491596,-0.727121734198763,-2.30258509299405,-1.89680956872019,1,0.184227811918346,-0.866609140009881,2.47244645885782,10.0561559311591,-0.347826940061508,20,0.12813237531015
"AST_SRR1974856",1.01984659080671,-0.645674520767258,-2.30258509299405,-1.51094369447425,1,0.159403444464154,-1.37830615566225,2.5483721480996,8.71267559175792,-0.300761264334526,4.30489947958655,0.122566824034786
"AST_SRR1974857",-0.0214072440061588,-0.573003240807174,-2.30258509299405,-1.86070710311613,1,0.118005507957828,-0.963671570996819,2.56758368448621,10.7277152632296,-0.352661380134433,20,0.0960469036139528
"AST_SRR1974858",0.584488147414544,-0.772593407260593,-2.30258509299405,-1.94633529364929,1,0.11995714763104,-0.826455143902851,2.60518749536891,11.2720275864731,-0.313407384771408,20,0.10259921733893
"AST_SRR1974859",0.330184594326248,-0.67946460118009,-2.30258509299405,-1.29945283782527,1,0.138695417408369,-1.36570287403462,2.51104403749374,10.8694250078761,-0.32449873940696,19.2747538125356,0.1363385288982
"AST_SRR1974862",-1.3098682363983,-0.0791673728054717,-2.30258509299405,-1.16756103609111,1,0.125369004018138,-1.18783462802107,2.38844908827955,6.39699148016707,-0.652660240195706,0.953313173083436,0.0542583103905539
"AST_SRR1974863",-0.619192188341442,-0.402639351425087,-2.30258509299405,-1.84448928163824,1,0.12152478895437,-0.387718969866416,2.44693834643067,9.45878065109178,-0.46050098448753,20,0.0791788807923904
"AST_SRR1974865",0.989146897996097,-0.886109945248911,-2.30258509299405,-1.49264878989796,1,0.123169716576256,-1.24284578231825,2.55197299224301,11.0324919685999,-0.331838309093995,20,0.123508514367534
"AST_SRR1974871",1.98426658884165,-1.38270307968679,-2.30258509299405,-1.78181498167387,1,0.15898022788953,-0.263398743858738,2.55416266979133,7.94885118658044,-0.393336194821747,5.57412256714389,0.196478798382522
"AST_SRR1974873",0.626327863244475,-0.429680890187962,-2.30258509299405,-1.24116211106736,1,0.153988345382689,-2.23223623542293,2.23309422790174,4.29396840435566,-1.22988915252668,0.1,0.0867184964968642
"AST_SRR1974874",-0.362536790067727,-0.389857496429593,-2.30258509299405,-1.6749443167849,1,0.137045844053048,-0.925113320121497,2.43278080384221,5.91373928121494,-0.62951875840955,0.753351858518486,0.0914703704896589
"NEU_SRR1974602",1.12882905414342,-0.578247054997929,-2.30258509299405,-1.32362588663144,1,0.310373761785332,-3.89805400225852,3.16239064976035,4.54575952766097,-0.209618255843698,0.634119037335404,0.150679353371707
"NEU_SRR1974603",-1.40365049402441,0.0393240040117343,-2.30258509299405,-1.23527304545468,1,0.128722288995006,-1.15385414269677,2.45504970316599,7.54224256305883,-0.427232746875393,3.00538546575853,0.052315522907143
"NEU_SRR1974605",2.70524043769604,-1.1038579807461,-2.30258509299405,-1.81274728581684,1,0.206591349271122,-1.74410741867827,2.99832396832541,11.5323286682358,-0.21593956561132,14.8732410083109,0.152243618814761
"NEU_SRR1974607",-0.381118270610848,-0.444876519724484,-2.30258509299405,-1.42176835239836,1,0.170544665123402,-2.53716511977113,2.74833166607008,10.108337472874,-0.225042449213025,4.59139301228485,0.13406724866008
"NEU_SRR1974609",3.76727565531893,-1.35631440196314,-2.30258509299405,-1.99741743529464,1,0.290103856066828,-4.86896125270576,3.47826511935118,5.30055764814077,-0.195388505469239,0.669915523895405,0.192309529737111
"NEU_SRR1974611",0.159313865739324,-0.512242342326939,-2.30258509299405,-1.40929866638945,1,0.148307080960899,-0.424925026675804,2.50935134308887,8.59280498347821,-0.412832408678901,20,0.0923448160272884
"NEU_SRR1974612",0.425660301432228,-0.0562975784526888,-2.30258509299405,-1.60825612300545,1,0.168882087639355,-1.15415946954367,2.58399842201942,7.88585719645884,-0.333246923539374,4.41220109195658,0.0500649851424257
"NEU_SRR1974613",3.65732827771976,-1.45962511919159,-2.30258509299405,-2.07992471959297,1,0.244032282857205,-3.77436070243837,3.28714961766781,5.36333652471035,-0.219970978570137,0.687111082322764,0.174996226134817
"NEU_SRR1974614",0.404497850767212,-0.630474109503534,-2.30258509299405,-1.29087059402555,1,0.167252319757865,-4.58320449722446,2.86359090437837,7.26123132647977,-0.196565308564021,0.789840462067095,0.115531928090344
"NEU_SRR1974615",4.18474353257858,-2.0296840706248,-2.30258509299405,-1.91820011459949,1,0.316090057572218,-3.31920422794268,3.2413318155677,4.20969604102494,-0.234170538058962,0.582728717061066,0.298246951759351
"NEU_SRR1974617",2.61051371060209,-1.0848717493746,-2.30258509299405,-1.71344167990623,1,0.275822737351854,-5.18720626741699,3.13597997591142,5.50358341206697,-0.210151409229492,0.614670875764237,0.177422654429402
"NEU_SRR1974618",3.39025869013542,-1.15173450300285,-2.30258509299405,-1.35911683448438,1,0.252529350389094,-3.14385027212124,3.0119423703411,2.22122377749979,-0.369551761645868,0.215196801411837,0.161349466740154
"NEU_SRR1974620",2.77918519187196,-1.30819423039859,-2.30258509299405,-2.00317659874586,1,0.212063861015855,-3.94070942505931,2.83645649997519,4.84912210080215,-0.277166381040454,0.412867442004072,0.166380917715866
"NEU_SRR1974621",1.7263756126332,-0.273247683038132,-2.30258509299405,-1.49162006412789,1,0.244387844137756,-1.3337650963575,2.8015505225179,9.60341878054479,-0.262260323085358,12.4433537919057,0.0826920659322326
"NEU_SRR1974622",2.7487079716988,-1.26589777359876,-2.30258509299405,-1.86924584421015,1,0.242704307496788,-4.12633480871947,2.77229347775123,5.56028840829681,-0.230290341015179,0.596415664230089,0.18454562960902
"NEU_SRR1974623",1.45277874564776,-0.766987521848247,-2.30258509299405,-1.96957026932443,1,0.168676308316653,-0.94317573417141,2.57112288104945,10.0163280278233,-0.338580834848355,20,0.109261348218017
